acct primary site function,acct manufacturing model,acct target industry,contact/lead title,QAL ID,contact/lead id,next_stage__c,Priority,acct territory rollup,acct tier rollup,solution,solution_rollup,last tactic campaign channel,qal cohort date
Food and beverage,Consumer Packaged Goods,Non-Life Science,QA Manager,a0dPQ000005WbfuYAC,0030c00002XPeNGAA1,SQL,P1 - Webinar Demo,Americas,Medium,Mx,Mx,Online Ads,2025-06-16
Small-molecule API,In-House,Pharma & BioTech,VP Quality&Regulatory Affairs,a0dPQ000008ye7dYAA,0030c00002XR1uPAAT,Recycled,No Priority,EMEA,Medium,Qx,Qx,Outbound Prospecting,2025-09-19
Sterile injectables,In-House,Pharma & BioTech,Qualified person,a0dPQ000000NRkHYAW,0030c00002Y3NUZAA3,Recycled,Priority 2,EMEA,Small,Qx,Qx,Email,2024-02-22
Sterile injectables,In-House,Pharma & BioTech,Qualified person,a0dPQ000009DHVhYAO,0030c00002Y3NUZAA3,Recycled,P1 - Webinar Demo,EMEA,Small,Qx,Qx,Email,2025-09-26
Biologic API,In-House,Pharma & BioTech,Quality Assurance Associate Director,a0dPQ000005fXd5YAE,0030c00002Z2FgfAAF,Recycled,Priority 2,Americas,Small,Mx,Mx,Email,2025-06-19
Surgical instruments,In-House,Medical Device,Quality Manager,a0dPQ00000CRpkLYAT,0030c00002ZaC9pAAF,Won,Priority 2,Americas,Medium,Mx,Mx,SEO,2025-11-13
"Cell therapies (CAR-T, NK)",Hospital Investigational Drug Unit,Blood & Biologics,ING,a0dPQ000000KWdFYAW,0030c00002ZzekAAAR,Recycled,Priority 2,EMEA,Large,Qx,Qx,Email,2024-02-15
In-vitro diagnostic (IVD) kits,In-House,Medical Device,Sr. Director of IT,a0dPQ000004LOWTYA4,0030c00002a0E0cAAE,Recycled,P1 - Webinar Demo,Americas,Medium,Logbooks,Mx,External Demand Gen,2025-04-29
Nutraceutical manufacturing,CMO,Pharma & BioTech,"Sr. Manager, Quality Systems",a0dPQ000000BrKLYA0,0030c00002a1U5AAAU,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-25
"Cell therapies (CAR-T, NK)",In-House,Medical Device,"Manager, Production Collagen Medical Device",a0dPQ000005xbzxYAA,0030c00002ZaFXaAAN,Recycled,Priority 2,APAC & Oceania,Small,Ax,Qx,Referrals,2025-06-27
Diagnostic Equipment,In-House,Medical Device,Document Control Specialist,a0dPQ000000g4aHYAQ,0030c00002bKZ7iAAG,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-04-11
Small-molecule API,Outsources Manufacturing,Pharma & BioTech,"Biostats & Clinical Data Management Associate Director, Technical Operations",a0dPQ000001G8lpYAC,0030c00002alVNNAA2,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-07-18
