qal_id,is_success,target_label,product_segment,title_tier,acct_primary_site_function,acct_manufacturing_model,acct_target_industry,contact_lead_title,contact_lead_id,next_stage__c,priority,acct_territory_rollup,acct_tier_rollup,solution,solution_rollup,last_tactic_campaign_channel,qal_cohort_date,cohort_date,cohort_month
a0dPQ000005WbfuYAC,1,Success,Mx,Manager,Food and beverage,Consumer Packaged Goods,Non-Life Science,QA Manager,0030c00002XPeNGAA1,SQL,P1 - Webinar Demo,Americas,Medium,Mx,Mx,Online Ads,2025-06-16,2025-06-16,2025-06
a0dPQ000008ye7dYAA,0,Failure,Qx,Executive/VP,Small-molecule API,In-House,Pharma & BioTech,VP Quality&Regulatory Affairs,0030c00002XR1uPAAT,Recycled,No Priority,EMEA,Medium,Qx,Qx,Outbound Prospecting,2025-09-19,2025-09-19,2025-09
a0dPQ000000NRkHYAW,0,Failure,Qx,Other,Sterile injectables,In-House,Pharma & BioTech,Qualified person,0030c00002Y3NUZAA3,Recycled,Priority 2,EMEA,Small,Qx,Qx,Email,2024-02-22,2024-02-22,2024-02
a0dPQ000009DHVhYAO,0,Failure,Qx,Other,Sterile injectables,In-House,Pharma & BioTech,Qualified person,0030c00002Y3NUZAA3,Recycled,P1 - Webinar Demo,EMEA,Small,Qx,Qx,Email,2025-09-26,2025-09-26,2025-09
a0dPQ000005fXd5YAE,0,Failure,Mx,Director,Biologic API,In-House,Pharma & BioTech,Quality Assurance Associate Director,0030c00002Z2FgfAAF,Recycled,Priority 2,Americas,Small,Mx,Mx,Email,2025-06-19,2025-06-19,2025-06
a0dPQ00000CRpkLYAT,1,Success,Mx,Manager,Surgical instruments,In-House,Medical Device,Quality Manager,0030c00002ZaC9pAAF,Won,Priority 2,Americas,Medium,Mx,Mx,SEO,2025-11-13,2025-11-13,2025-11
a0dPQ000000KWdFYAW,0,Failure,Qx,Other,"Cell therapies (CAR-T, NK)",Hospital Investigational Drug Unit,Blood & Biologics,ING,0030c00002ZzekAAAR,Recycled,Priority 2,EMEA,Large,Qx,Qx,Email,2024-02-15,2024-02-15,2024-02
a0dPQ000004LOWTYA4,0,Failure,Mx,Director,In-vitro diagnostic (IVD) kits,In-House,Medical Device,Sr. Director of IT,0030c00002a0E0cAAE,Recycled,P1 - Webinar Demo,Americas,Medium,Logbooks,Mx,External Demand Gen,2025-04-29,2025-04-29,2025-04
a0dPQ000000BrKLYA0,0,Failure,Qx,Manager,Nutraceutical manufacturing,CMO,Pharma & BioTech,"Sr. Manager, Quality Systems",0030c00002a1U5AAAU,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-25,2024-01-25,2024-01
a0dPQ000005xbzxYAA,0,Failure,Qx,Manager,"Cell therapies (CAR-T, NK)",In-House,Medical Device,"Manager, Production Collagen Medical Device",0030c00002ZaFXaAAN,Recycled,Priority 2,APAC & Oceania,Small,Ax,Qx,Referrals,2025-06-27,2025-06-27,2025-06
a0dPQ000000g4aHYAQ,0,Failure,Qx,Individual Contributor,Diagnostic Equipment,In-House,Medical Device,Document Control Specialist,0030c00002bKZ7iAAG,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-04-11,2024-04-11,2024-04
a0dPQ000001G8lpYAC,0,Failure,Qx,Director,Small-molecule API,Outsources Manufacturing,Pharma & BioTech,"Biostats & Clinical Data Management Associate Director, Technical Operations",0030c00002alVNNAA2,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-07-18,2024-07-18,2024-07
a0dPQ000001klhhYAA,1,Success,Qx,Executive/VP,Animal Health,In-House,Pharma & BioTech,President,0030c00002ba6TDAAY,SQL,Priority 1,Americas,Small,Qx,Qx,Online Ads,2024-09-23,2024-09-23,2024-09
a0dPQ000009F5YTYA0,0,Failure,Qx,Manager,Not Enough Info Found,In-House,Non-Life Science,Shipping Manager,0030c00002bKWA5AAO,Recycled,P1 - Webinar Demo,Americas,Small,Qx,Qx,External Demand Gen,2025-09-26,2025-09-26,2025-09
a0dPQ0000047ELhYAM,1,Success,Mx,Individual Contributor,Implantable devices,In-House,Medical Device,Sr. Quality Systems Engineer,0030c00002bKb2ZAAS,SQO,Priority 2,Americas,Medium,Logbooks,Mx,Email,2025-04-07,2025-04-07,2025-04
a0dPQ000004KFTeYAO,1,Success,Mx,Individual Contributor,Implantable devices,In-House,Medical Device,Sr. Quality Systems Engineer,0030c00002bKb2ZAAS,SQO,P1 - Webinar Demo,Americas,Medium,Logbooks,Mx,Email,2025-04-28,2025-04-28,2025-04
a0dPQ000001kbf7YAA,0,Failure,Qx,Other,Non-manufacturing organization,Software / Technology Development,Medical Device,PRRC,0030c00002bkd4UAAQ,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-09-23,2024-09-23,2024-09
a0dPQ000000NRcDYAW,0,Failure,Qx,Manager,In-vitro diagnostic (IVD) kits,In-House,Medical Device,"Manager, Quality Assurance & Regulatory Affair",0030c00002bmdO9AAI,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-02-22,2024-02-22,2024-02
a0dPQ000001FIorYAG,0,Failure,Qx,Manager,In-vitro diagnostic (IVD) kits,In-House,Medical Device,"Manager, Quality Assurance & Regulatory Affair",0030c00002bmdO9AAI,Recycled,Priority 1,EMEA,Medium,Qx,Qx,SEO,2024-07-17,2024-07-17,2024-07
a0dPQ000001Sw25YAC,0,Failure,Qx,Other,In-vitro diagnostic (IVD) kits,In-House,Medical Device,QA,0030c00002cIdynAAC,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-08-16,2024-08-16,2024-08
a0dPQ000000KPdNYAW,0,Failure,Qx,Manager,Animal Health,In-House,Pharma & BioTech,Microbiology Manager,0030c00002cJDM5AAO,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2024-02-15,2024-02-15,2024-02
a0d3t00000kobEBAAY,0,Failure,Qx,Manager,Diagnostic Equipment,In-House,Medical Device,Quality systems Manager,0030c00002bmSHPAA2,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2024-01-17,2024-01-17,2024-01
a0dPQ000000Nn6TYAS,0,Failure,Qx,Manager,Diagnostic Equipment,In-House,Medical Device,Quality systems Manager,0030c00002bmSHPAA2,Recycled,Priority 2,Americas,Medium,Quality,Qx,Email,2024-02-22,2024-02-22,2024-02
a0dPQ000002h3RJYAY,1,Success,Qx,Director,Non-manufacturing organization,CRO,Pharma & BioTech,"Associate Director, Laboratory Support Services",0030c00002cH8afAAC,SQL,P1 - Contact Us,Americas,Medium,Qx,Qx,Online Ads,2025-01-09,2025-01-09,2025-01
a0dPQ000009hgQEYAY,0,Failure,Qx,Manager,Biologic API,In-House,Medical Device,Senior Network and Security Manager,0030c00002cbcR7AAI,Recycled,Priority 2,Americas,Large,Platform,Qx,SEO,2025-10-07,2025-10-07,2025-10
a0dPQ000000H8UDYA0,1,Success,Qx,Other,Diagnostic Equipment,In-House,Medical Device,Owner,0030c00002dhrROAAY,SQL,No Priority,Americas,Small,Qx,Qx,Email,2024-02-07,2024-02-07,2024-02
