Unique_ contact_lead_title,Unique_ title_seniority,Unique_ title_function
QA Manager,Manager,Quality
VP Quality&Regulatory Affairs,VP,Other
Qualified person,Other,IT
Quality Assurance Associate Director,Director,Mfg/Ops
Quality Manager,IC,PMO
ING,C-Suite,R&D
Sr. Director of IT,Unknown,Unknown
"Sr. Manager, Quality Systems",SVP,Regulatory
"Manager, Production Collagen Medical Device",,
Document Control Specialist,,
"Biostats & Clinical Data Management Associate Director, Technical Operations",,
President,,
Shipping Manager,,
Sr. Quality Systems Engineer,,
PRRC,,
"Manager, Quality Assurance & Regulatory Affair",,
QA,,
Microbiology Manager,,
Quality systems Manager,,
"Associate Director, Laboratory Support Services",,
Senior Network and Security Manager,,
Owner,,
Timothy Wright,,
VP of QA/RA,,
"Project Manager, Fragments & External Projects",,
RA Manager,,
Quality Systems Analyst,,
"Manager, Automation Technology (APAC)",,
Program Manager,,
Vice President - Information Technology Global,,
Principal,,
"Director, Quality Assurance and Regulatory Affairs",,
North America Quality Specialist,,
R&D,,
Vice President of Quality Regulatory and Operations,,
,,
Director of Quality and Regulatory Affairs,,
"Manager, Regulatory Affairs",,
QA/RA Associate,,
Senior Quality Assurance Manager - ProcessModul,,
Head of Process Engineering,,
"Senior Regulatory Affairs Manager, Ypsomed USA",,
Vice-President  Finance/administration,,
èª²é•·,,
Director Operations,,
Operations   Manager,,
Quality  Assurance Manager,,
National Operations Manager,,
"Director, Analytical Research And Development And Quality Control",,
IT Manager,,
Sr. Quality Engineer,,
President  & Ceo,,
Plant Director,,
Quality Assurance Supervisor,,
Biotechnology Engineer,,
Director  Of Operations,,
Quality Measure,,
Director  Of Research and development,,
Director of Quality & Regulatory,,
Senior Director of Laboratory Quality,,
Director  Of Manufacturing science & technology,,
Senior GMP Auditor,,
Sr. Regional Service Manager,,
VP - Scientific & Technical Services,,
Quality System Officer,,
Lab Manager,,
European QA System Administrator,,
Manager Quality Assurance,,
Senior Quality Assurance Specialist,,
Director - Research & Development,,
Director,,
Chief Operating Officer,,
"Director, Quality Operations",,
QMS manager,,
"Manager, Regulatory Officer",,
Quality Engineer,,
Director of Quality,,
"VP, Global Quality Center of Excellence",,
Manufacturing Science and Technology Engineer,,
Senior Quality Systems Technician,,
Vice President Operations,,
Quality Engineering Manager,,
Quality Assurance Manager,,
Quality Tech,,
Computer System Validation Analyst IV,,
"Senior Manager, Information Technology",,
"Director, Product Development",,
Manufacturing Manager,,
Regulatory Affairs Specialist,,
Capa   Manager,,
Regulatory  Affairs Professional,,
Quality Assurance Director,,
MSc,,
Director of Quality Assurance and Quality Control,,
Head of Qualification/Validation,,
"Manager, Software Quality Assurance",,
"Vice President, Information Technology",,
Commercial Director,,
Glp  Quality Assurance auditor iii,,
QA Associate II,,
Plant Quality Manager,,
Head of Quality & Regulatory Affairs,,
Quality Assurance Laboratory Technician,,
QA eCompliance Manager,,
Manager Operations,,
Training/Documentation,,
Head of Quality,,
QA Tech Specialist II,,
QC/Process Improvement Director,,
Program Director Clin Asc Professional Fsc Conhi Clinical Research Management,,
Senior  Quality Engineer,,
"Manager, Customer Success & Quality",,
Research Development Quality Assurance Manager,,
QMS,,
NPI Quality Manager,,
Director Audit QA,,
Consultant,,
Vice  President Of quality assurance,,
