qal_id,contact_lead_id,is_success,outcome_tier,next_stage__c,product_segment,solution_rollup,acct_target_industry,acct_manufacturing_model,acct_primary_site_function,acct_territory_rollup,acct_tier_rollup,contact_lead_title,title_seniority,title_function,title_scope,is_decision_maker,record_completeness,completeness_tier,priority,last_tactic_campaign_channel,cohort_date,cohort_year,cohort_quarter,lead_age_days
a0dPQ000005WbfuYAC,0030c00002XPeNGAA1,1,Success,SQL,Mx,Mx,Non-Life Science,Consumer Packaged Goods,Food and beverage,Americas,Medium,QA Manager,Manager,Quality,Standard,0,1.0,High,P1 - Webinar Demo,Online Ads,2025-06-16,2025,2025Q2,203
a0dPQ000008ye7dYAA,0030c00002XR1uPAAT,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,In-House,Small-molecule API,EMEA,Medium,VP Quality&Regulatory Affairs,VP,Quality,Standard,1,1.0,High,No Priority,Outbound Prospecting,2025-09-19,2025,2025Q3,108
a0dPQ000000NRkHYAW,0030c00002Y3NUZAA3,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,In-House,Sterile injectables,EMEA,Small,Qualified person,Other,Other,Standard,0,1.0,High,Priority 2,Email,2024-02-22,2024,2024Q1,683
a0dPQ000009DHVhYAO,0030c00002Y3NUZAA3,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,In-House,Sterile injectables,EMEA,Small,Qualified person,Other,Other,Standard,0,1.0,High,P1 - Webinar Demo,Email,2025-09-26,2025,2025Q3,101
a0dPQ000005fXd5YAE,0030c00002Z2FgfAAF,0,Near-Miss,Recycled,Mx,Mx,Pharma & BioTech,In-House,Biologic API,Americas,Small,Quality Assurance Associate Director,Director,Quality,Standard,1,1.0,High,Priority 2,Email,2025-06-19,2025,2025Q2,200
a0dPQ00000CRpkLYAT,0030c00002ZaC9pAAF,1,Success,Won,Mx,Mx,Medical Device,In-House,Surgical instruments,Americas,Medium,Quality Manager,Manager,Quality,Standard,0,1.0,High,Priority 2,SEO,2025-11-13,2025,2025Q4,53
a0dPQ000000KWdFYAW,0030c00002ZzekAAAR,0,Near-Miss,Recycled,Qx,Qx,Blood & Biologics,Hospital Investigational Drug Unit,"Cell therapies (CAR-T, NK)",EMEA,Large,ING,Other,Other,Standard,0,1.0,High,Priority 2,Email,2024-02-15,2024,2024Q1,690
a0dPQ000004LOWTYA4,0030c00002a0E0cAAE,0,Near-Miss,Recycled,Mx,Mx,Medical Device,In-House,In-vitro diagnostic (IVD) kits,Americas,Medium,Sr. Director of IT,Director,IT,Standard,1,1.0,High,P1 - Webinar Demo,External Demand Gen,2025-04-29,2025,2025Q2,251
a0dPQ000000BrKLYA0,0030c00002a1U5AAAU,0,Near-Miss,Recycled,Qx,Qx,Pharma & BioTech,CMO,Nutraceutical manufacturing,Americas,Medium,"Sr. Manager, Quality Systems",Manager,Quality,Standard,0,1.0,High,Priority 2,Email,2024-01-25,2024,2024Q1,711
a0dPQ000005xbzxYAA,0030c00002ZaFXaAAN,0,Near-Miss,Recycled,Qx,Qx,Medical Device,In-House,"Cell therapies (CAR-T, NK)",APAC & Oceania,Small,"Manager, Production Collagen Medical Device",Manager,Mfg/Ops,Standard,0,1.0,High,Priority 2,Referrals,2025-06-27,2025,2025Q2,192
